Date,Open,Close,Open,Close,,,
10/7/2017,33.25,33.650002,209.600006,210.490005,,Intel,3m
11/7/2017,33.639999,33.919998,210.410004,209.660004,,,
12/7/2017,34.279999,34.25,210.910004,211.300003,,,
13/7/2017,34.330002,34.240002,211.199997,211.089996,,,
14/7/2017,34.48,34.68,211.520004,211.770004,,,
17/7/2017,34.740002,34.470001,212.199997,211.679993,,,
18/7/2017,34.43,34.529999,210.679993,211.309998,,,
19/7/2017,34.68,34.560001,211.509995,212.100006,,,
20/7/2017,34.540001,34.75,212.210007,212.449997,,,
21/7/2017,34.540001,34.73,211.649994,211.160004,,,
24/7/2017,34.73,34.5,211.199997,210,,,
25/7/2017,34.549999,34.669998,202.649994,199.389999,,,
26/7/2017,34.700001,34.75,200.449997,199.029999,,,
27/7/2017,34.779999,34.970001,199.139999,200.050003,,,
28/7/2017,35.130001,35.310001,200.789993,199.720001,,,
31/7/2017,35.470001,35.470001,200,201.169998,,,
1/8/2017,35.66,36.349998,202.289993,203.179993,,,
2/8/2017,36.330002,36.639999,203.190002,205.410004,,,
3/8/2017,36.549999,36.490002,205.910004,207.619995,,,
4/8/2017,36.450001,36.299999,207.949997,207.649994,,,
7/8/2017,36.389999,36.43,207.899994,207.440002,,,
8/8/2017,36.369999,36.41,206.830002,206.429993,,,
9/8/2017,36.279999,36.59,206.690002,206.479996,,,
10/8/2017,36.400002,36.139999,205.619995,206.229996,,,
11/8/2017,36.259998,35.869999,206.850006,205.979996,,,
14/8/2017,36.119999,36.34,206.660004,207.369995,,,
15/8/2017,36.299999,36,207,207.179993,,,
16/8/2017,35.98,35.810001,207.210007,207.919998,,,
17/8/2017,35.599998,35.169998,207.789993,205.350006,,,
18/8/2017,35.290001,35.009998,205.350006,203.529999,,,
21/8/2017,35.09,34.919998,203.800003,204.550003,,,
22/8/2017,35.02,34.650002,205.199997,205.460007,,,
23/8/2017,34.540001,34.66,204.050003,202.669998,,,
24/8/2017,34.700001,34.709999,203.889999,202.119995,,,
25/8/2017,34.82,34.669998,203.440002,202.130005,,,
28/8/2017,34.779999,34.650002,202.779999,202.460007,,,
29/8/2017,34.509998,34.73,202.199997,202.919998,,,
30/8/2017,34.75,34.889999,202.919998,203.690002,,,
31/8/2017,34.939999,35.07,204.320007,204.320007,,,
1/9/2017,35.240002,35.09,204.610001,203.559998,,,
5/9/2017,35.02,35.02,202.25,200.979996,,,
6/9/2017,35.220001,35.759998,201.75,202.050003,,,
7/9/2017,35.880001,35.540001,201.470001,204.460007,,,
8/9/2017,35.419998,35.189999,204.350006,205.690002,,,
11/9/2017,35.490002,35.77,206.460007,209.559998,,,
12/9/2017,35.880001,36.09,209.910004,209.639999,,,
13/9/2017,36,36.330002,209.119995,209.490005,,,
14/9/2017,36.189999,36.48,209.149994,211.429993,,,
15/9/2017,36.549999,37,212.589996,213.350006,,,
18/9/2017,37,37,214,213.759995,,,
19/9/2017,37.200001,37.23,214.229996,213.559998,,,
20/9/2017,37.23,37.07,211.770004,210.509995,,,
21/9/2017,36.990002,37.200001,210.899994,210.440002,,,
22/9/2017,36.950001,37.18,209.639999,210.759995,,,
25/9/2017,37.049999,37.16,210.979996,210.729996,,,
26/9/2017,37.209999,37.470001,211.259995,211.029999,,,
27/9/2017,37.619999,37.540001,211.089996,209.479996,,,
28/9/2017,37.32,37.830002,208.300003,209.550003,,,
29/9/2017,37.84,38.080002,209.059998,209.899994,,,
2/10/2017,38.119999,39.040001,210.729996,212.759995,,,
3/10/2017,38.950001,39.380001,212.619995,214.570007,,,
4/10/2017,39.389999,39.34,214.850006,216.520004,,,
5/10/2017,39.5,39.529999,216.490005,216.369995,,,
6/10/2017,39.599998,39.630001,216,216.520004,,,
9/10/2017,39.68,39.860001,215.960007,216.679993,,,
10/10/2017,39.93,39.650002,217.380005,216.75,,,
11/10/2017,39.48,39.299999,216.75,216.509995,,,
12/10/2017,39.349998,39.189999,216.600006,217.589996,,,
13/10/2017,39.439999,39.669998,218.830002,217.720001,,,
16/10/2017,39.709999,39.759998,217.699997,218.720001,,,
17/10/2017,39.560001,39.790001,218.490005,217.75,,,
18/10/2017,39.799999,40.25,217.520004,218.270004,,,
19/10/2017,39.880001,40.09,218.490005,219.240005,,,
20/10/2017,40.330002,40.43,219.949997,221.320007,,,
23/10/2017,40.549999,40.830002,221.759995,221.550003,,,
24/10/2017,41,40.950001,229,234.649994,,,
25/10/2017,40.889999,40.779999,235.009995,237.679993,,,
26/10/2017,40.91,41.349998,238.259995,232.940002,,,
27/10/2017,43.299999,44.400002,234.229996,234.740005,,,
30/10/2017,44.48,44.369999,233.660004,231.020004,,,
31/10/2017,45.200001,45.490002,231.380005,230.190002,,,
1/11/2017,45.970001,46.709999,231,230.179993,,,
2/11/2017,46.610001,47.099998,230.240005,232.229996,,,
3/11/2017,47.200001,46.34,231.559998,232.220001,,,
6/11/2017,46.599998,46.700001,232.220001,230.309998,,,
7/11/2017,46.700001,46.779999,230.380005,230.050003,,,
8/11/2017,46.619999,46.700001,229.839996,229.830002,,,
9/11/2017,46.049999,46.299999,228.539993,228.389999,,,
10/11/2017,46.040001,45.580002,227.470001,227.449997,,,
13/11/2017,45.259998,45.75,226.729996,228.220001,,,
14/11/2017,45.700001,45.860001,228.139999,229.330002,,,
15/11/2017,45.389999,45.459999,228.070007,227.399994,,,
16/11/2017,45.630001,45.650002,227.789993,229.419998,,,
17/11/2017,45.5,44.630001,228.429993,229.360001,,,
20/11/2017,44.73,44.619999,229.899994,231.490005,,,
21/11/2017,44.720001,44.939999,232.210007,234.089996,,,
22/11/2017,44.939999,44.650002,233.059998,231.580002,,,
24/11/2017,44.549999,44.75,232.029999,231.380005,,,
27/11/2017,44.419998,44.490002,231.75,234,,,
28/11/2017,44.650002,44.73,234.119995,235.630005,,,
29/11/2017,44.849998,43.950001,236.050003,238.009995,,,
30/11/2017,44.360001,44.84,238.860001,243.139999,,,
1/12/2017,44.73,44.68,243.190002,241.149994,,,
4/12/2017,45.02,44.490002,243.050003,239.259995,,,
5/12/2017,44.599998,43.439999,240.220001,238.259995,,,
6/12/2017,43.139999,43.450001,240.330002,238.669998,,,
7/12/2017,43.459999,43.080002,238.449997,240.300003,,,
8/12/2017,43.349998,43.349998,240,238.130005,,,
11/12/2017,43.279999,43.66,239.190002,239.300003,,,
12/12/2017,43.470001,43.330002,236.580002,236.580002,,,
13/12/2017,43.650002,43.34,236.910004,239.110001,,,
14/12/2017,43.43,43.259998,240.320007,238.080002,,,
15/12/2017,43.400002,44.560001,239.190002,238,,,
18/12/2017,45.150002,46.259998,238.580002,238.419998,,,
19/12/2017,46.299999,47.040001,239.470001,238.389999,,,
20/12/2017,47.470001,47.560001,238.199997,236.919998,,,
21/12/2017,47.540001,46.759998,236,234.779999,,,
22/12/2017,46.330002,46.700001,235.360001,234.729996,,,
26/12/2017,46.279999,46.080002,235.080002,235.449997,,,
27/12/2017,46.110001,46.110001,235.520004,236.199997,,,
28/12/2017,46.360001,46.220001,236.940002,235.720001,,,
29/12/2017,46.209999,46.16,236.479996,235.369995,,,
